Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21
1,Page,,,,,,,,New Page,,,,,,,,,,,,,,,,,,,,
2,Entity,Entity Relationship,1,,,,,,ArchivedMeterNotifications,id,"numeric(10,0) NOT NULL",meter,varchar(150),notification,"numeric(10,0)",positive_deviation,boolean,negative_deviation,boolean,positive_deviation_value,"numeric(7,2)",negative_deviation_value,"numeric(7,2)",period,"numeric(10,0)",initial_occurrence,timestamp without time zone,last_occurrence,timestamp without time zone
3,Entity,Entity Relationship,1,,,,,,MeterData,id,"numeric(10,0) NOT NULL",meter,varchar(150),timestamp,timestamp without time zone NOT NULL,measured_value,"numeric(7,2) NOT NULL",unit,varchar(5),,,,,,,,,,
4,Entity,Entity Relationship,1,,,,,,MeterTypes,id,"numeric(10,0) NOT NULL",display_name,varchar(100) NOT NULL,,,,,,,,,,,,,,,,
5,Entity,Entity Relationship,1,,,,,,Meters,id,varchar(150) NOT NULL,metertype,"numeric(10,0)",user,"numeric(10,0)",city,varchar(50),latitude,"numeric(10,4)",longitude,"numeric(10,4)",,,,,,,,
6,Entity,Entity Relationship,1,,,,,,NotificationExceptions,id,"numeric(10,0) NOT NULL",notification,"numeric(10,0) NOT NULL",period,"numeric(10,0)",min_positive_deviation,"numeric(3,0)",min_negative_deviation,"numeric(3,0)",,,,,,,,,,
7,Entity,Entity Relationship,1,,,,,,NotificationMeters,meter,varchar(150) NOT NULL,notification,"numeric(10,0) NOT NULL",,,,,,,,,,,,,,,,
8,Entity,Entity Relationship,1,,,,,,Notifications,id,"numeric(10,0) NOT NULL",user,"numeric(10,0) NOT NULL",name,varchar(100) NOT NULL,type,integer,min_positive_deviation,"numeric(3,0)",min_negative_deviation,"numeric(3,0)",,,,,,,,
9,Entity,Entity Relationship,1,,,,,,Periods,id,"numeric(10,0) NOT NULL",name,varchar(250),,,,,,,,,,,,,,,,
10,Entity,Entity Relationship,1,,,,,,ReportStatistics,report,"numeric(10,0) NOT NULL",statistic,"numeric(10,0) NOT NULL",,,,,,,,,,,,,,,,
11,Entity,Entity Relationship,1,,,,,,Reports,id,"numeric(10,0) NOT NULL",name,varchar(100),annotation,varchar(2000),period,"numeric(10,0)",user,"numeric(10,0)",,,,,,,,,,
12,Entity,Entity Relationship,1,,,,,,StatisticMeters,statistic,"numeric(10,0) NOT NULL",meter,varchar(150) NOT NULL,,,,,,,,,,,,,,,,
13,Entity,Entity Relationship,1,,,,,,StatisticTimes,id,"numeric(10,0) NOT NULL",statistic,"numeric(10,0)",period,"numeric(10,0)",,,,,,,,,,,,,,
14,Entity,Entity Relationship,1,,,,,,Statistics,id,"numeric(10,0) NOT NULL",user,"numeric(10,0)",name,varchar(250),,,,,,,,,,,,,,
15,Entity,Entity Relationship,1,,,,,,TransferInfos,id,"numeric(10,0) NOT NULL",secret_numer,"numeric(10,0) NOT NULL",key,varchar(16),mod_number,"numeric(100,0)",,,,,,,,,,,,
16,Entity,Entity Relationship,1,,,,,,Users,id,"numeric(10,0) NOT NULL",username,varchar(32) NOT NULL,password,bytea,,,,,,,,,,,,,,
17,Entity,Entity Relationship,1,,,,,,WeatherData,id,"numeric(10,0) NOT NULL",meter,varchar(150) NOT NULL,timestamp,timestamp without time zone,temperature,"numeric(5,2)",humidity,"numeric(5,2)",,,,,,,,,,
18,Line,,1,,5,2,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
19,Line,,1,,9,2,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
20,Line,,1,,8,2,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
21,Line,,1,,16,8,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
22,Line,,1,,16,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
23,Line,,1,,4,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
24,Line,,1,,5,3,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
25,Line,,1,,16,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
26,Line,,1,,9,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
27,Line,,1,,8,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
28,Line,,1,,5,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
29,Line,,1,,5,17,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
30,Line,,1,,11,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
31,Line,,1,,16,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
32,Line,,1,,14,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
33,Line,,1,,8,6,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
34,Line,,1,,9,6,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
35,Line,,1,,5,12,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
36,Line,,1,,14,12,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
37,Line,,1,,9,13,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
38,Line,,1,,14,13,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,
